Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Tampa, Florida, USA",Deiveson Figueiredo,Tim Elliott,0,0,8,26,0,1,1,0,Flyweight,SUB Guillotine Choke,1,3:08,UFC Fight Night,2019-10-12 0:00:00,Deiveson Figueiredo
"Tampa, Florida, USA",Glover Teixeira,Rashad Evans,1,0,6,7,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,1:48,UFC on FOX,2016-04-16 0:00:00,Glover Teixeira
"Tampa, Florida, USA",Rose Namajunas,Tecia Torres,0,0,46,61,2,0,0,0,Women's Strawweight,U-DEC,3,5:00,UFC on FOX,2016-04-16 0:00:00,Rose Namajunas
"Tampa, Florida, USA",Khabib Nurmagomedov,Darrell Horcher,0,0,75,6,2,0,0,0,Catch Weight,KO/TKO Punches,2,3:38,UFC on FOX,2016-04-16 0:00:00,Khabib Nurmagomedov
"Tampa, Florida, USA",Raquel Pennington,Bethe Correia,0,0,75,66,0,0,0,0,Women's Bantamweight,S-DEC,3,5:00,UFC on FOX,2016-04-16 0:00:00,Raquel Pennington
"Tampa, Florida, USA",Cain Velasquez,Denis Stojnic,0,0,88,7,1,0,0,1,Heavyweight,KO/TKO Punches,2,2:34,UFC Fight Night,2009-02-07 0:00:00,Cain Velasquez
"Sydney, New South Wales, Australia",Sean Strickland,Israel Adesanya,1,0,137,94,0,0,0,0,Middleweight,U-DEC,5,5:00,UFC 293,2023-09-09 0:00:00,Sean Strickland
"Sydney, New South Wales, Australia",Fabricio Werdum,Marcin Tybura,0,0,155,127,1,1,0,0,Heavyweight,U-DEC,5,5:00,UFC Fight Night,2017-11-18 0:00:00,Fabricio Werdum
"Sydney, New South Wales, Australia",Belal Muhammad,Tim Means,0,0,88,91,1,0,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night,2017-11-18 0:00:00,Belal Muhammad
"Sydney, New South Wales, Australia",Alexander Volkanovski,Shane Young,0,0,68,18,5,1,0,0,Catch Weight,U-DEC,3,5:00,UFC Fight Night,2017-11-18 0:00:00,Alexander Volkanovski
"Sydney, New South Wales, Australia",Luke Rockhold,Michael Bisping,1,0,20,16,0,0,1,0,Middleweight,SUB Guillotine Choke,2,0:57,UFC Fight Night,2014-11-07 0:00:00,Luke Rockhold
"Sydney, New South Wales, Australia",Robert Whittaker,Clint Hester,2,0,49,28,1,0,0,0,Middleweight,KO/TKO Knee,2,2:43,UFC Fight Night,2014-11-07 0:00:00,Robert Whittaker
"Sydney, New South Wales, Australia",Demetrious Johnson,Ian McCall,0,0,75,61,0,4,0,0,Flyweight,M-DEC,3,5:00,UFC on FX,2012-03-02 0:00:00,Demetrious Johnson
"Sydney, New South Wales, Australia",BJ Penn,Jon Fitch,0,0,12,47,2,4,1,0,Welterweight,M-DEC,3,5:00,UFC 127,2011-02-26 0:00:00,BJ Penn
"Sydney, New South Wales, Australia",Michael Bisping,Jorge Rivera,1,0,50,8,3,0,0,0,Middleweight,KO/TKO Punches,2,1:54,UFC 127,2011-02-26 0:00:00,Michael Bisping
"Sydney, New South Wales, Australia",Cain Velasquez,Antonio Rodrigo Nogueira,1,0,23,3,0,0,0,0,Heavyweight,KO/TKO Punch,1,2:20,UFC 110,2010-02-20 0:00:00,Cain Velasquez
"Sunrise, Florida, USA",Glover Teixeira,Ion Cutelaba,0,0,30,74,0,0,1,0,Light Heavyweight,SUB Rear Naked Choke,2,3:37,UFC Fight Night,2019-04-27 0:00:00,Glover Teixeira
"Sunrise, Florida, USA",Carla Esparza,Virna Jandiroba,0,0,25,17,4,3,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,2019-04-27 0:00:00,Carla Esparza
"Sunrise, Florida, USA",Demetrious Johnson,Ian McCall,1,0,90,57,2,1,0,0,Flyweight,U-DEC,3,5:00,UFC on FX,2012-06-08 0:00:00,Demetrious Johnson
"Stockholm, Sweden",Max Holloway,Akira Corassani,1,0,31,11,0,0,0,0,Featherweight,KO/TKO Punch,1,3:11,UFC Fight Night,2014-10-04 0:00:00,Max Holloway
"Stockholm, Sweden",Jan Blachowicz,Ilir Latifi,0,0,13,2,0,0,0,0,Light Heavyweight,KO/TKO Kick,1,1:58,UFC Fight Night,2014-10-04 0:00:00,Jan Blachowicz
"Stockholm, Sweden",Conor McGregor,Marcus Brimage,1,0,21,12,0,0,0,0,Featherweight,KO/TKO Punches,1,1:07,UFC on FUEL TV,2013-04-06 0:00:00,Conor McGregor
"St. Louis, Missouri, USA",Kamaru Usman,Emil Meek,0,0,50,30,8,0,0,2,Welterweight,U-DEC,3,5:00,UFC Fight Night,2018-01-14 0:00:00,Kamaru Usman
"Singapore, Singapore",Max Holloway,Will Chope,2,0,74,33,0,0,0,0,Featherweight,KO/TKO Punch,2,2:27,UFC Fight Night,2014-01-04 0:00:00,Max Holloway
"Shenzhen, Guangdong, China",Zhang Weili,Jessica Andrade,1,0,29,4,0,0,0,0,Women's Strawweight,KO/TKO Punch,1,0:42,UFC Fight Night,2019-08-31 0:00:00,Zhang Weili
